,popularity,budget,vote_average,Tomatoes,Profit_Margin,Success
Justice League: War,8.138622,3500000,7,57,0.321090329,0
The Rocketeer,10.536644,42000000,6.3,67,0.322580645,0
Natural Born Killers,11.226856,34000000,6.9,48,0.323823992,0
Mr. Nice Guy,6.183021,12716953,6.2,43,0.324095549,0
Don't Be Afraid of the Dark,8.67817,25000000,5.4,71,0.324199539,0
Return of the Living Dead Part II,6.606325,6200000,5.8,5,0.326520619,0
Message in a Bottle,5.101392,80000000,5.9,32,0.32705258,0
Another Gay Movie,5.978211,500000,5.2,50,0.329153512,0
Clockstoppers,4.920175,26000000,4.9,29,0.32978088,0
Clockstoppers,5.373623,26000000,4.9,29,0.32978088,0
Lemony Snicket's A Series of Unfortunate Events,12.817945,140000000,6.7,72,0.330379494,0
Planet 51,10.44244,70000000,5.6,23,0.332988806,0
Dingo,0.124273,200000,6,83,0.333333333,0
Topaz,5.757907,4000000,6.1,69,0.333333333,0
The Ghost and the Darkness,10.789928,50000000,6.4,50,0.333333333,0
Hellboy,13.206854,66000000,6.5,17,0.335474495,0
My Old Lady,11.127162,5000000,6.1,62,0.335745198,0
Sister Act 2: Back in the Habit,12.986842,38000000,5.9,18,0.337043899,0
Waterworld,16.885184,175000000,5.9,45,0.337668689,0
Smart People,3.756539,7000000,5.8,50,0.337746089,0
Ninja Assassin,9.163897,40000000,6.2,26,0.338431239,0
U2 3D,0.900864,15000000,6.7,92,0.340103635,0
The Tigger Movie,7.023414,30000000,6.3,62,0.341448633,0
High Crimes,8.371005,42000000,6.1,30,0.341505047,0
What's Your Number?,6.958086,20000000,6.2,23,0.342669529,0
Minuscule: Valley of the Lost Ants,6.583428,19700000,6.6,90,0.343333333,0
Colombiana,8.062578,40000000,6.5,27,0.343895027,0
Battle for Terra,6.737142,4000000,6,48,0.344374719,0
Return to Me,5.269733,24000000,6.1,62,0.34444132,0
Men of Honor,7.177649,32000000,7,42,0.34446257,0
We Were Soldiers,11.34706,75000000,6.7,64,0.345896676,0
Our Family Wedding,8.204894,14000000,5.7,15,0.346070265,0
Black Rain,6.973408,30000000,6.2,54,0.346294312,0
Surrogates,16.211937,80000000,5.9,37,0.346644216,0
Million Dollar Arm,9.453942,25000000,6.6,64,0.347388446,0
Wild at Heart,8.528622,9500000,7,66,0.347538541,0
Repo Man,6.357559,1500000,6.7,98,0.347826087,0
City Heat,12.881025,25000000,5.1,22,0.348092315,0
Dante's Peak,7.240753,116000000,5.8,28,0.34878202,0
Jay and Silent Bob Strike Back,11.619446,22000000,6.4,52,0.348884362,0
The Ninth Gate,11.316349,38000000,6.3,43,0.349336215,0
Jason X,7.793873,11000000,4.5,19,0.351101281,0
Bewitched,9.276085,85000000,4.8,24,0.353249047,0
Little Shop of Horrors,7.409179,25000000,6.7,90,0.354811986,0
Jackie,8.362716,9000000,6.5,88,0.355319055,0
What Lies Beneath,9.500497,100000000,6.3,47,0.356765719,0
Spy Game,18.186839,92000000,6.8,65,0.35686625,0
Two Weeks Notice,7.738531,60000000,5.9,42,0.357291493,0
Cats & Dogs,8.142251,60000000,5,53,0.357430758,0
Bound,12.449574,4500000,6.9,89,0.358180496,0
The Sisterhood of the Traveling Pants,9.263965,25000000,6.3,82,0.359845314,0
The Devil's Own,10.675073,90000000,5.9,35,0.360829715,0
Machete,7.120403,20000000,6.3,71,0.361591405,0
The Gambler,8.728556,25000000,5.7,14,0.361774858,0
Shooter,14.246918,61000000,6.9,48,0.362571423,0
The Reaping,9.825841,40000000,5.4,8,0.362763658,0
Now You See Me,17.852022,75000000,7.3,50,0.362780758,0
Blow,12.332223,53000000,7.4,55,0.363610244,0
The Green Berets,9.391981,7000000,5.8,23,0.363636364,0
9 Songs,18.847707,1000000,5.1,24,0.364927351,0
Leap Year,7.432311,19000000,6.5,23,0.365025724,0
Heavy Traffic,0.820911,950000,6.6,89,0.366666667,0
The Long Riders,3.557608,10000000,6.6,81,0.366895831,0
Child's Play 3,24.515462,13000000,5.5,21,0.367712122,0
Days of Glory,10.021547,14500000,6.7,83,0.368568682,0
Paint Your Wagon,10.648872,20000000,6.3,33,0.368662516,0
Charlie Wilson's War,9.979162,75000000,6.5,82,0.369750071,0
The Science of Sleep,10.603991,6000000,6.8,70,0.370035089,0
Little Man,7.067602,64000000,5.3,12,0.370048489,0
10 to Midnight,3.372304,4520000,6.1,40,0.370086817,0
Meet Joe Black,14.026744,90000000,6.9,45,0.370365629,0
Total Recall,16.42635,125000000,5.8,83,0.371233924,0
Joy Ride,10.337689,23000000,6.3,100,0.37231936,0
Norbit,7.667874,60000000,5,9,0.372867796,0
The Sweetest Thing,8.889064,43000000,5.3,26,0.374060818,0
Exit Wounds,12.280827,50000000,5.3,33,0.374676387,0
"Yours, Mine & Ours",10.238422,45000000,5.7,6,0.375249484,0
The Big Red One,5.395103,4500000,6.8,90,0.375539465,0
Paycheck,12.571789,60000000,5.9,27,0.376751665,0
2046,7.157169,12000000,6.9,86,0.377312764,0
Muppets Most Wanted,7.244956,50000000,6.2,80,0.377980175,0
Lockout,8.772263,20000000,5.8,37,0.378959714,0
The Informant!,11.698089,22000000,6,79,0.378966604,0
The A-Team,16.747793,110000000,6.2,48,0.379368386,0
Last Action Hero,9.434006,85000000,6.1,38,0.380910885,0
The Spy Next Door,6.663422,28000000,5.5,12,0.381031393,0
Body of Lies,12.886125,70000000,6.5,55,0.382062681,0
Out of Sight,7.349812,48000000,6.5,94,0.382601462,0
A Christmas Carol,12.869273,200000000,6.6,86,0.385057884,0
Abraham Lincoln: Vampire Hunter,7.922636,69000000,5.5,33,0.385383561,0
Kingdom of Heaven,16.296471,130000000,6.6,39,0.385758551,0
Predator 2,11.736241,35000000,6,31,0.387258313,0
A Perfect Getaway,11.017008,14000000,6.2,62,0.38737926,0
The Last Witch Hunter,13.412445,90000000,5.7,18,0.387492224,0
Radio,5.81647,32000000,6.8,35,0.3878818,0
Willow,9.918312,35000000,6.9,53,0.388858325,0
Bugsy,5.516316,30000000,6,84,0.389176401,0
Death Race,13.53003,45000000,6,42,0.389934042,0
Entourage,14.013413,30000000,6.2,33,0.391028683,0
The Sisterhood of the Traveling Pants 2,4.631978,27000000,6.1,66,0.39123949,0
Hannibal Rising,2.159558,50000000,6,15,0.391504557,0
Lara Croft Tomb Raider: The Cradle of Life,13.076349,95000000,5.5,24,0.392992144,0
The Craft,12.860385,15000000,6.3,57,0.394415689,0
An American in Paris,5.565203,2723903,6.9,95,0.394688222,0
The Punisher,18.250919,33000000,6.1,25,0.396710482,0
Undercover Brother,5.00725,25000000,5.5,78,0.399103072,0
Beginners,6.72639,3200000,6.8,85,0.399954171,0
The Wrong Man,8.56081,1200000,6.9,93,0.4,0
The Siege,9.019114,70000000,6.1,44,0.400032117,0
Accepted,7.06088,23000000,6.2,38,0.402675117,0
The Judge,17.887943,50000000,7.2,49,0.402766776,0
Marmaduke,12.285545,50000000,5,9,0.403069493,0
Friday After Next,5.794821,20000000,6,26,0.403462928,0
Unstoppable,12.697059,100000000,6.3,80,0.404071855,0
The Namesake,4.273271,12000000,6.8,85,0.404136366,0
Spaceballs,9.10373,22700000,6.7,57,0.404503991,0
Fever Pitch,6.734065,30000000,5.9,14,0.405367239,0
Jersey Boys,6.447072,40000000,6.8,51,0.406061261,0
Videocracy,0.712844,700000,6.4,67,0.406616732,0
Joy,12.975936,60000000,6.4,93,0.406728054,0
Star Trek: Insurrection,9.538877,70000000,6.3,55,0.406779661,0
The Sweeney,5.311336,3730500,5.7,46,0.407307821,0
Sholem Aleichem: Laughing In The Darkness,0.086226,500000,7,100,0.408415642,0
Charlotte's Web,10.254314,85000000,5.8,78,0.409722222,0
She's the Man,6.916201,20000000,6.4,43,0.409840769,0
Cousins,7.584638,13000000,5.1,60,0.409895597,0
King Arthur,8.862107,120000000,6.1,31,0.410515974,0
Piranha 3DD,5.615205,5000000,4.1,12,0.411330337,0
Lost in Space,12.000579,80000000,5,27,0.412453444,0
Endless Love,8.757277,20000000,6.7,26,0.41310972,0
The Other Guys,12.536621,100000000,6.1,79,0.413258918,0
The Next Three Days,9.591425,30000000,6.9,50,0.413474267,0
Seabiscuit,7.851669,87000000,6.8,78,0.413495449,0
"The Bread, My Sweet",0.958152,600000,5,53,0.413579161,0
U.S. Marshals,8.462364,60000000,6.2,30,0.413875931,0
The Tree of Life,11.204539,32000000,6.5,84,0.41471508,0
The Natural,12.319855,28000000,7,83,0.416082494,0
Arachnophobia,5.418428,31000000,6.2,93,0.417382816,0
Son of Rambow,7.391932,4000000,6.7,74,0.417779472,0
Legend,11.187833,25000000,6.7,41,0.418239278,0
House of Wax,7.163099,40000000,5.5,27,0.418318215,0
Secretariat,7.681383,35000000,6.8,64,0.419100355,0
The Mothman Prophecies,8.50563,32000000,6.1,52,0.419843587,0
Pocketful of Miracles,2.649605,2900000,7.3,55,0.42,0
Space Chimps,6.212702,37000000,5.1,33,0.420065832,0
The Invention of Lying,7.087161,18500000,6,55,0.420295178,0
Our Idiot Brother,5.918193,10000000,5.9,70,0.421081648,0
Crank: High Voltage,10.044642,20000000,5.9,65,0.421305958,0
The Matador,3.867472,10000000,6.2,73,0.421873219,0
Life,36.263803,58000000,6.3,64,0.42312554,0
The Saint,10.97633,68000000,5.9,30,0.424037803,0
Brooklyn's Finest,12.50422,17000000,6.2,44,0.424437029,0
Under Siege 2: Dark Territory,7.490247,60000000,5.6,34,0.424869136,0
The American President,6.318445,62000000,6.5,91,0.425284671,0
Reality Bites,6.514592,11500000,6.5,63,0.427286558,0
The World According to Garp,5.036929,17000000,6.9,70,0.427843915,0
Somebody Up There Likes Me,2.747776,1920000,6.8,68,0.428571429,0
In the Land of Women,9.351276,10000000,5.8,44,0.428571429,0
Tea with Mussolini,3.094893,12000000,5.8,64,0.428613956,0
RV,11.511424,50000000,5.6,24,0.428755356,0
Joe Dirt,10.442468,17700000,5.5,9,0.428805531,0
Legend of the Guardians: The Owls of Ga'Hoole,17.674048,80000000,6.5,52,0.428870823,0
God's Not Dead,6.097499,17000000,5.9,12,0.429319547,0
Along Came a Spider,13.214068,60000000,6.1,32,0.429541539,0
Gangster Squad,8.581558,60000000,6.2,30,0.42966269,0
Carnosaur,0.293373,1000000,3.9,10,0.429867746,0
Zack and Miri Make a Porno,6.449332,24000000,6.1,65,0.42999794,0
Stir of Echoes,5.875606,12000000,6.5,67,0.432170037,0
The Three Musketeers,6.303466,75000000,5.6,92,0.432997221,0
Shanghai Knights,7.469778,50000000,6,65,0.433899162,0
Just Like Heaven,8.351773,58000000,6.5,54,0.436096244,0
Postcards from the Edge,2.523655,22000000,6.3,83,0.436931216,0
Rat Race,12.330275,48000000,6,45,0.438586865,0
A Night at the Roxbury,12.480685,17000000,5.9,11,0.439520375,0
ParaNorman,10.425038,60000000,6.7,89,0.439981925,0
Robin Hood: Men in Tights,17.136672,20000000,6.4,41,0.440399074,0
Secret in Their Eyes,6.79115,19500000,6.2,39,0.440539217,0
Stranger Than Fiction,10.798092,30000000,7.1,38,0.440853731,0
Hot Tub Time Machine,11.967652,36000000,5.9,64,0.442485072,0
The Three Musketeers,6.34785,30000000,6.2,92,0.443401802,0
Be Cool,13.314233,53000000,5.4,30,0.443429994,0
The Five-Year Engagement,12.84554,30000000,5.7,64,0.443514402,0
Turbo: A Power Rangers Movie,5.436745,10000000,4.6,15,0.4438184,0
Shalako,6.229674,1455000,5.4,40,0.444656489,0
The Boxtrolls,11.563909,60000000,6.6,78,0.445757025,0
Lions for Lambs,5.80986,35000000,6,27,0.446341577,0
Adventureland,6.77887,9500000,6.4,88,0.44652812,0
A Knight's Tale,10.90061,65000000,6.6,59,0.446749527,0
Hairspray,7.768045,50000000,6.5,92,0.447208451,0
The Spiderwick Chronicles,11.133784,90000000,6.3,81,0.447309113,0
The Great Outdoors,11.666172,24000000,6.4,41,0.447707445,0
Blue Streak,6.229424,65000000,6.1,36,0.44802286,0
Teenage Mutant Ninja Turtles: Out of the Shadows,13.047776,135000000,5.8,37,0.450379102,0
All About the Benjamins,3.909079,14000000,5.9,31,0.450612647,0
What About Bob?,11.787942,35000000,6.7,82,0.450635693,0
Filth,14.970485,5000000,6.8,66,0.451409351,0
Diary of a Wimpy Kid: The Long Haul,28.176992,22000000,6.1,18,0.451647033,0
Russian Dolls,6.361343,13000000,6.8,72,0.452107933,0
Conspiracy Theory,14.261798,75000000,6.5,57,0.452486141,0
The Three Stooges,13.371056,30000000,4.9,51,0.452747491,0
Fan,5.127876,16000000,6.2,80,0.453021298,0
Burnt,8.066726,20000000,6.3,28,0.453652569,0
A Dangerous Method,9.865944,15000000,6.2,78,0.453791508,0
My Best Friend's Girl,14.114136,20000000,5.4,14,0.453857931,0
Death on the Nile,11.162277,7920000,6.7,78,0.456047094,0
Firewall,6.500892,45000000,5.6,18,0.456521739,0
Bernie,5.875181,5000000,6.5,88,0.456903678,0
Rush Hour 3,9.718111,140000000,6.1,17,0.457411098,0
Hard Times,3.427039,2700000,6.7,93,0.46,0
Cop Out,14.313079,30000000,5.3,18,0.460274435,0
The Longest Ride,10.264416,34000000,7.3,31,0.460431207,0
The Polar Express,14.27536,165000000,6.4,56,0.460565243,0
Uptown Girls,5.555088,20000000,6.1,13,0.460853328,0
Terminator Salvation,16.507496,200000000,5.9,33,0.461428884,0
Vacancy,7.712309,19000000,6,55,0.461766209,0
Finding Forrester,10.536255,43000000,7,74,0.462834144,0
Clash of the Titans,11.972347,125000000,5.6,27,0.462858004,0
Munich,9.668761,70000000,7,78,0.463020982,0
A Very Harold & Kumar Christmas,10.724679,19000000,6,67,0.463082879,0
The Fast and the Furious: Tokyo Drift,2.238808,85000000,6.1,38,0.463615093,0
Crocodile Dundee in Los Angeles,6.640385,21150000,4.7,11,0.463724364,0
Escape from Planet Earth,11.617481,40000000,5.7,35,0.463790029,0
The Chronicles of Narnia: Prince Caspian,12.490891,225000000,6.3,66,0.463840719,0
The Birth of a Nation,5.933047,8500000,6.4,91,0.464113443,0
Monster House,15.402378,75000000,6.3,75,0.464954544,0
Antwone Fisher,10.944654,12500000,6.7,78,0.465070975,0
Deep Impact,11.644633,75000000,5.9,44,0.466057883,0
The Choice,8.28378,10000000,6.7,11,0.466122567,0
After Earth,10.747642,130000000,5,12,0.466870354,0
Van Helsing,12.643312,160000000,6,24,0.467124007,0
Seven Years in Tibet,11.483493,70000000,7,58,0.467509248,0
3 Days to Kill,17.861119,28000000,6,27,0.467660357,0
Snakes on a Plane,7.418574,33000000,5.1,69,0.467930854,0
The Covenant,12.72212,20000000,5.2,4,0.468049327,0
Syriana,5.768575,50000000,6.3,73,0.468085106,0
Mr. Peabody & Sherman,9.493838,145000000,6.7,81,0.468694042,0
Death Wish 3,12.829904,9000000,6.1,11,0.468875233,0
Bedazzled,8.781588,48000000,5.6,74,0.468927901,0
How Stella Got Her Groove Back,3.645263,20000000,6,50,0.469106652,0
12,6.975759,4000000,6.6,77,0.469316757,0
Hellboy II: The Golden Army,11.928661,85000000,6.5,86,0.470035373,0
Jack and Jill,6.620033,79000000,4,3,0.47218547,0
The Good Dinosaur,12.319595,175000000,6.6,75,0.472774286,0
Convoy,4.925738,12000000,6.1,50,0.472876903,0
A History of Violence,11.119707,32000000,6.9,87,0.47317148,0
The Legend of Zorro,8.940007,75000000,5.9,27,0.473314847,0
A Walk Among the Tombstones,14.914924,28000000,6.2,68,0.473502114,0
Jane Austen's Mafia!,6.046893,10000000,5.4,14,0.473684211,0
The Andromeda Strain,11.081253,6500000,7,67,0.474813807,0
Batman & Robin,17.038824,125000000,4.2,12,0.475246588,0
Raw Deal,9.292099,8500000,5.5,31,0.475614825,0
Memoirs of a Geisha,7.680762,85000000,7.3,35,0.476094378,0
Rounders,8.783454,12000000,6.9,64,0.476483143,0
Young Adult,6.142913,12000000,5.6,80,0.476874063,0
Exodus: Gods and Kings,16.320249,140000000,5.6,30,0.477673972,0
The Last Starfighter,5.984133,15000000,6.5,76,0.477957449,0
Aquamarine,11.29062,12000000,5.8,51,0.478416188,0
Bee Movie,8.774374,150000000,5.7,49,0.478432446,0
The Shadow,7.881107,25000000,5.4,34,0.479854072,0
Blue Thunder,10.456371,22000000,5.9,78,0.480069578,0
Nine Lives,10.000208,30000000,5.5,76,0.481098539,0
Stardust,14.784525,70000000,7.2,19,0.483623587,0
Mother's Day,8.309565,25000000,5.8,41,0.483664807,0
Narc,5.20644,6500000,6.8,83,0.485504973,0
Superman III,9.614638,39000000,5.3,30,0.485831521,0
Must Love Dogs,9.378926,30000000,5.8,37,0.4863481,0
G-Force,9.163791,150000000,5.1,22,0.487736131,0
Silent Hill,7.938457,50000000,6.3,31,0.487744035,0
Confessions of a Teenage Drama Queen,7.423275,15000000,5.1,14,0.488596869,0
Hunting Elephants,1.050644,2300000,6.2,36,0.488888889,0
The Grudge 2,6.768804,20000000,5.3,12,0.489063911,0
All Dogs Go to Heaven,7.068389,13800000,6.3,44,0.490775415,0
The Book of Eli,14.39853,80000000,6.6,47,0.490795346,0
Alpha and Omega,8.16645,20000000,5.3,19,0.491094148,0
Poetic Justice,6.972599,14000000,6.9,34,0.49120116,0
Delivery Man,13.548808,26000000,6.2,40,0.491831246,0
Guess Who,6.71898,35000000,5.5,41,0.492134528,0
Dumbo,14.655879,812000,6.8,98,0.4925,0
Step Brothers,8.579638,65000000,6.5,55,0.492614188,0
Jennifer's Body,13.483131,16000000,5.3,46,0.492965868,0
House of the Dead,5.701278,7000000,2.8,3,0.493421023,0
Never Die Alone,6.212433,3000000,5.7,26,0.493499916,0
License to Wed,7.102076,35000000,5.3,7,0.495002137,0
The Legend of Tarzan,45.38298,180000000,5.5,35,0.495435175,0
Space Cowboys,7.45761,65000000,6.3,78,0.495671042,0
Blade: Trinity,18.860681,65000000,5.7,24,0.495754118,0
Daylight,11.995799,80000000,5.8,91,0.497526792,0
The Best Little Whorehouse in Texas,2.171346,35000000,5.9,42,0.497859713,0
Intolerable Cruelty,13.469862,60000000,5.8,75,0.499753274,0
Dillinger,8.005804,1000000,6.7,93,0.5,0
Alexander's Ragtime Band,0.632261,2000000,4.8,80,0.5,0
Tales from the Hood,2.86007,6000000,5.4,58,0.5,0
Dostana,2.532958,10000000,6.4,87,0.5,0
Teenage Mutant Ninja Turtles III,8.13688,21000000,5.1,19,0.5,0
Don't Say a Word,6.824871,50000000,6,24,0.50010044,0
Hollow Man,7.912103,95000000,5.6,26,0.500561093,0
Road House,2.943427,15000000,6.3,92,0.500832412,0
Before I Fall,38.995136,5000000,6.8,64,0.501275289,0
Double Impact,6.600651,15000000,5.3,33,0.501706108,0
Cube,12.095263,250000,6.9,64,0.501811414,0
Alien Nation,15.133316,16000000,5.9,53,0.502410928,0
Bug,5.911303,4000000,6,33,0.503669126,0
The Great Debaters,8.735448,15000000,6.9,80,0.503740868,0
Galaxy Quest,15.831374,45000000,6.9,90,0.503770878,0
The Fighting Temptations,2.18689,15000000,5.3,42,0.503944911,0
The Pacifier,7.81645,56000000,5.8,21,0.50445495,0
Bad Lieutenant,6.417037,1000000,6.9,77,0.504820327,0
Fun with Dick and Jane,13.473381,100000000,5.9,29,0.505014481,0
DragonHeart,23.63659,57000000,6.4,50,0.505497544,0
RoboCop,10.246549,120000000,5.7,91,0.505539941,0
Hell's Angels,5.276546,3950000,6.1,75,0.50625,0
The Haunted Mansion,11.605735,90000000,5.1,14,0.506281921,0
Bride of Chucky,13.018491,25000000,5.5,47,0.50662942,0
Harlem Nights,9.01086,30000000,5.7,27,0.507104837,0
Backdraft,9.883727,75000000,6.4,74,0.50777255,0
The 'Burbs,7.889227,18000000,6.6,53,0.508223594,0
Reno 911!: Miami,4.468247,10000000,5.6,34,0.508410144,0
The Interpreter,12.047671,80000000,6.2,57,0.50903656,0
Invictus,9.109838,60000000,7,76,0.509138094,0
Lethal Weapon 4,14.470551,140000000,6.3,52,0.509537057,0
Tower Heist,7.762917,75000000,5.8,67,0.509581544,0
A Guy Named Joe,0.662665,2627000,6,67,0.510162223,0
Tropic Thunder,8.980941,92000000,6.5,82,0.510827329,0
Drop Dead Fred,7.88101,6788000,5.9,11,0.510892302,0
Four Christmases,7.210383,80000000,5.3,25,0.511401737,0
Godzilla 1985,2.894009,2000000,6.7,27,0.512195122,0
The Misfits,5.317544,4000000,6.8,17,0.512195122,0
The Last Boy Scout,10.550259,29000000,6.5,46,0.512686329,0
Four Brothers,6.84109,45000000,6.7,52,0.512853491,0
Amistad,2.263584,36000000,6.8,78,0.513513514,0
Friends with Money,8.869162,6500000,5.1,72,0.513780108,0
Two Girls and a Guy,4.967667,1000000,5.4,50,0.513900738,0
Annie,13.275529,65000000,6,28,0.514279495,0
U-571,7.879924,62000000,6.1,68,0.514359356,0
Sleepy Hollow,11.072361,100000000,6.9,70,0.514731542,0
Man of the Year,7.018483,20000000,5.8,24,0.515006287,0
Dumb and Dumberer: When Harry Met Lloyd,9.280038,19000000,4.1,10,0.516139486,0
The Golden Compass,11.481379,180000000,5.8,43,0.516434334,0
Maximum Risk,7.370163,25000000,5.3,32,0.516464229,0
Seed of Chucky,15.216315,12000000,4.9,34,0.516706724,0
Blue Crush,6.455738,25000000,5.6,62,0.517771834,0
The Bone Collector,8.884406,73000000,6.5,28,0.518131634,0
The Dead Zone,11.194448,10000000,6.9,88,0.518457894,0
The Big Hit,5.975082,13000000,6.1,41,0.518645863,0
Ghost Rider,11.902354,110000000,5.2,27,0.519101282,0
Orphan,8.730934,20000000,6.7,38,0.519187438,0
Never Back Down,14.753931,20000000,6.5,21,0.519547579,0
Mr. Brooks,7.423812,20000000,6.8,55,0.519661031,0
Lucky Number Slevin,11.15092,27000000,7.4,51,0.520501926,0
Hotel for Dogs,6.317992,35000000,5.7,46,0.520774166,0
Beyond the Lights,6.293515,7000000,7,83,0.521162137,0
The Hitchhiker's Guide to the Galaxy,13.257255,50000000,6.6,60,0.521432254,0
The Secret Life of Walter Mitty,8.684892,90000000,7,75,0.521615846,0
The Transporter,13.217421,21000000,6.6,54,0.521955143,0
Chicken Little,18.584609,150000000,5.6,36,0.522950327,0
Agent Cody Banks,10.445141,28000000,5,38,0.523775621,0
Flirting with Disaster,5.579088,7000000,6.3,88,0.523888487,0
Bad Boys II,8.191436,130000000,6.3,23,0.524401071,0
A Most Wanted Man,10.432407,15000000,6.5,85,0.524637334,0
Hereafter,7.942766,50000000,5.8,47,0.524704144,0
Lake Placid,13.787108,27000000,5.5,47,0.525236444,0
The Good Girl,4.388338,8000000,6.1,82,0.525395043,0
The Spitfire Grill,1.19589,6000000,6.8,38,0.525458218,0
Changing Lanes,7.81862,45000000,5.9,77,0.525995282,0
Side Effects,11.645847,30000000,6.4,81,0.526610464,0
Made of Honor,6.417385,40000000,6,16,0.527196156,0
Dick,3.960622,13000000,5.7,72,0.527272727,0
End of Days,9.62371,100000000,5.5,11,0.528277506,0
Zookeeper,11.341084,80000000,5.3,14,0.529003824,0
The Last Airbender,9.544657,150000000,4.7,5,0.529046708,0
Hanna,8.071196,30000000,6.5,71,0.529648438,0
Race to Witch Mountain,8.176147,50000000,5.4,42,0.52965076,0
The Bourne Legacy,14.89499,130000000,6,55,0.529961243,0
Baby Mama,10.901355,30000000,5.8,63,0.530026961,0
The Heartbreak Kid,9.149612,60000000,5.7,29,0.530393886,0
Tomcats,4.63422,11000000,4.9,14,0.53053178,0
From Hell,7.79014,35000000,6.6,57,0.530567531,0
A Perfect Murder,9.430812,60000000,6.3,55,0.531390466,0
The Skeleton Key,10.947957,43000000,6.4,37,0.532480727,0
The Imaginarium of Doctor Parnassus,6.859934,30000000,6.3,64,0.53381842,0
